id_user,platform,device_os,date_created,type_of_event
58116608,mobile,Android,2022-12-11,first_visit
57225477,mobile,Android,2022-12-11,first_visit
63576332,mobile,Android,2022-12-11,first_visit
67879180,mobile,Android,2022-12-11,first_visit
57722384,mobile,Android,2022-12-11,first_visit
60071954,mobile,Android,2022-12-11,first_visit
67422743,mobile,Android,2022-12-11,first_visit
58310428,mobile,Android,2022-12-11,first_visit
55935776,mobile,Android,2022-12-11,first_visit
57769509,mobile,Android,2022-12-11,first_visit
52336166,mobile,Android,2022-12-11,first_visit
56850474,mobile,Android,2022-12-11,first_visit
63748400,mobile,Android,2022-12-11,first_visit
60608560,mobile,Android,2022-12-11,first_visit
65038398,mobile,Android,2022-12-11,first_visit
64335426,mobile,Android,2022-12-11,first_visit
58498885,mobile,Android,2022-12-11,first_visit
64745034,mobile,Android,2022-12-11,first_visit
65606219,mobile,Android,2022-12-11,first_visit
61943629,mobile,Android,2022-12-11,first_visit
67878222,mobile,Android,2022-12-11,first_visit
49361744,mobile,Android,2022-12-11,first_visit
44881496,mobile,Android,2022-12-11,first_visit
65482585,mobile,Android,2022-12-11,first_visit
65397850,mobile,Android,2022-12-11,first_visit
62361950,mobile,Android,2022-12-11,first_visit
67752290,mobile,Android,2022-12-11,first_visit
67552883,mobile,Android,2022-12-11,first_visit
60319351,mobile,Android,2022-12-11,first_visit
65520508,mobile,Android,2022-12-11,first_visit
66055037,mobile,Android,2022-12-11,first_visit
49888126,mobile,Android,2022-12-11,first_visit
24981375,mobile,Android,2022-12-11,first_visit
65130634,mobile,Android,2022-12-11,first_visit
56077451,mobile,Android,2022-12-11,first_visit
61459344,mobile,Android,2022-12-11,first_visit
57844371,mobile,Android,2022-12-11,first_visit
65027233,mobile,Android,2022-12-11,first_visit
36664488,mobile,Android,2022-12-11,first_visit
65487532,mobile,Android,2022-12-11,first_visit
64109495,mobile,Android,2022-12-11,first_visit
59463608,mobile,Android,2022-12-11,first_visit
65432000,mobile,Android,2022-12-11,first_visit
67966657,mobile,Android,2022-12-11,first_visit
56558018,mobile,Android,2022-12-11,first_visit
64312003,mobile,Android,2022-12-11,first_visit
65621444,mobile,Android,2022-12-11,first_visit
58135494,mobile,Android,2022-12-11,first_visit
64034759,mobile,Android,2022-12-11,first_visit
67968455,mobile,Android,2022-12-11,first_visit
57230281,mobile,Android,2022-12-11,first_visit
67979465,mobile,Android,2022-12-11,first_visit
53160910,mobile,Android,2022-12-11,first_visit
23120085,mobile,Android,2022-12-11,first_visit
44906966,mobile,Android,2022-12-11,first_visit
67858408,mobile,Android,2022-12-11,first_visit
67173096,mobile,Android,2022-12-11,first_visit
65002221,mobile,Android,2022-12-11,first_visit
66576116,mobile,Android,2022-12-11,first_visit
61103093,mobile,Android,2022-12-11,first_visit
59588343,mobile,Android,2022-12-11,first_visit
52749818,mobile,Android,2022-12-12,first_visit
67988861,mobile,iOS,2022-12-12,first_visit
67969059,mobile,iOS,2022-12-12,first_visit
67988559,mobile,iOS,2022-12-12,first_visit
67954077,mobile,iOS,2022-12-12,first_visit
36611264,mobile,iOS,2022-12-12,first_visit
55648491,mobile,iOS,2022-12-12,first_visit
67988744,mobile,iOS,2022-12-12,first_visit
67988558,mobile,iOS,2022-12-12,first_visit
67988774,mobile,iOS,2022-12-12,first_visit
67988811,mobile,iOS,2022-12-12,first_visit
67988812,mobile,iOS,2022-12-12,first_visit
67988890,mobile,iOS,2022-12-12,first_visit
67988663,mobile,iOS,2022-12-12,first_visit
67988667,mobile,iOS,2022-12-12,first_visit
67892304,mobile,iOS,2022-12-12,first_visit
67988409,mobile,iOS,2022-12-12,first_visit
67987452,mobile,iOS,2022-12-12,first_visit
67988702,mobile,iOS,2022-12-12,first_visit
67890194,mobile,iOS,2022-12-12,first_visit
67987005,mobile,iOS,2022-12-12,first_visit
67988492,mobile,iOS,2022-12-12,first_visit
67837724,mobile,iOS,2022-12-12,first_visit
58125855,mobile,iOS,2022-12-12,first_visit
67988515,mobile,iOS,2022-12-12,first_visit
67847748,mobile,iOS,2022-12-12,first_visit
67988805,mobile,iOS,2022-12-12,first_visit
67988806,mobile,iOS,2022-12-12,first_visit
67988311,mobile,iOS,2022-12-12,first_visit
67847512,mobile,iOS,2022-12-12,first_visit
67988572,mobile,iOS,2022-12-12,first_visit
66007659,mobile,iOS,2022-12-12,first_visit
67988850,mobile,iOS,2022-12-12,first_visit
67988854,mobile,iOS,2022-12-12,first_visit
67988864,mobile,iOS,2022-12-12,first_visit
67988870,mobile,iOS,2022-12-12,first_visit
67988624,mobile,iOS,2022-12-12,first_visit
67988126,mobile,iOS,2022-12-12,first_visit
67988641,mobile,iOS,2022-12-12,first_visit
67988387,mobile,iOS,2022-12-12,first_visit
67988651,mobile,iOS,2022-12-12,first_visit
66951599,mobile,iOS,2022-12-12,first_visit
67988413,mobile,iOS,2022-12-12,first_visit
67988929,mobile,iOS,2022-12-12,first_visit
67151334,mobile,iOS,2022-12-12,first_visit
67988458,mobile,iOS,2022-12-12,first_visit
67988728,mobile,iOS,2022-12-12,first_visit
62525770,mobile,iOS,2022-12-12,first_visit
66881074,mobile,iOS,2022-12-12,first_visit
67560075,mobile,iOS,2022-12-12,first_visit
65369410,mobile,Android,2022-12-12,first_visit
63933772,mobile,Android,2022-12-12,first_visit
67878228,mobile,Android,2022-12-12,first_visit
64238461,mobile,Android,2022-12-12,first_visit
65008002,mobile,Android,2022-12-12,first_visit
67752887,mobile,Android,2022-12-12,first_visit
60104655,mobile,Android,2022-12-12,first_visit
58437105,mobile,Android,2022-12-12,first_visit
49832692,mobile,Android,2022-12-12,first_visit
39857916,mobile,Android,2022-12-12,first_visit
58360574,mobile,Android,2022-12-12,first_visit
67988841,mobile,iOS,2022-12-12,first_visit
67988701,mobile,iOS,2022-12-12,first_visit
67988779,mobile,Android,2022-12-12,first_visit
67018753,mobile,Android,2022-12-12,first_visit
62117385,mobile,Android,2022-12-12,first_visit
67969036,mobile,Android,2022-12-12,first_visit
67920156,mobile,Android,2022-12-12,first_visit
67303793,mobile,Android,2022-12-12,first_visit
67875959,mobile,Android,2022-12-12,first_visit
23408863,mobile,Android,2022-12-12,first_visit
66156522,mobile,Android,2022-12-12,first_visit
67978025,mobile,Android,2022-12-12,first_visit
2358620,mobile,Android,2022-12-12,first_visit
67802210,mobile,Android,2022-12-12,first_visit
66413184,mobile,Android,2022-12-12,first_visit
67580574,mobile,Android,2022-12-12,first_visit
67965435,mobile,Android,2022-12-12,first_visit
61253780,mobile,Android,2022-12-12,first_visit
67976258,mobile,Android,2022-12-12,first_visit
67100727,mobile,Android,2022-12-12,first_visit
66160295,mobile,Android,2022-12-12,first_visit
67637511,mobile,Android,2022-12-12,first_visit
66375517,mobile,Android,2022-12-12,first_visit
60541083,mobile,Android,2022-12-12,first_visit
66924738,mobile,Android,2022-12-12,first_visit
66843398,mobile,Android,2022-12-12,first_visit
67977000,mobile,Android,2022-12-12,first_visit
32152922,mobile,Android,2022-12-12,first_visit
67873387,mobile,Android,2022-12-12,first_visit
47322236,mobile,Android,2022-12-12,first_visit
65514160,mobile,Android,2022-12-12,first_visit
66550714,mobile,Android,2022-12-12,first_visit
65360114,mobile,Android,2022-12-12,first_visit
60997480,mobile,Android,2022-12-12,first_visit
23073075,mobile,Android,2022-12-12,first_visit
66540696,mobile,Android,2022-12-12,first_visit
66262286,mobile,Android,2022-12-12,first_visit
29473991,mobile,Android,2022-12-12,first_visit
22769979,mobile,iOS,2022-12-12,first_visit
62636670,mobile,iOS,2022-12-12,first_visit
67985842,mobile,iOS,2022-12-12,first_visit
67985962,mobile,iOS,2022-12-12,first_visit
67985204,mobile,iOS,2022-12-12,first_visit
67988804,mobile,iOS,2022-12-12,first_visit
62939084,mobile,iOS,2022-12-12,first_visit
63839053,mobile,Android,2022-12-12,first_visit
61166949,mobile,Android,2022-12-12,first_visit
64178404,mobile,Android,2022-12-12,first_visit
64401242,mobile,Android,2022-12-12,first_visit
58360337,mobile,Android,2022-12-12,first_visit
59839667,mobile,Android,2022-12-12,first_visit
63620185,mobile,Android,2022-12-12,first_visit
66993778,mobile,Android,2022-12-12,first_visit
65539968,mobile,Android,2022-12-12,first_visit
22836391,mobile,Android,2022-12-12,first_visit
21157058,mobile,Android,2022-12-12,first_visit
53086930,mobile,Android,2022-12-12,first_visit
66591284,mobile,Android,2022-12-12,first_visit
61322065,mobile,Android,2022-12-12,first_visit
67482095,mobile,Android,2022-12-12,first_visit
62634504,mobile,Android,2022-12-12,first_visit
45959576,mobile,Android,2022-12-12,first_visit
40800601,mobile,Android,2022-12-12,first_visit
66087716,mobile,iOS,2022-12-12,first_visit
67954780,mobile,iOS,2022-12-12,first_visit
61500428,mobile,iOS,2022-12-12,first_visit
67988765,mobile,iOS,2022-12-12,first_visit
55838292,mobile,iOS,2022-12-12,first_visit
56539568,mobile,iOS,2022-12-12,first_visit
67987899,mobile,iOS,2022-12-12,first_visit
65114170,mobile,iOS,2022-12-12,first_visit
59622474,mobile,iOS,2022-12-12,first_visit
67988557,mobile,iOS,2022-12-12,first_visit
65696629,mobile,iOS,2022-12-12,first_visit
65932921,mobile,iOS,2022-12-12,first_visit
62616770,mobile,iOS,2022-12-12,first_visit
64072654,mobile,iOS,2022-12-12,first_visit
59438454,mobile,iOS,2022-12-12,first_visit
62605752,mobile,iOS,2022-12-12,first_visit
67987541,mobile,iOS,2022-12-12,first_visit
67987074,mobile,iOS,2022-12-12,first_visit
67988941,mobile,iOS,2022-12-12,first_visit
67144817,mobile,iOS,2022-12-12,first_visit
55012740,mobile,Android,2022-12-12,first_visit
67988292,mobile,Android,2022-12-12,first_visit
53167402,mobile,Android,2022-12-12,first_visit
64017079,mobile,Android,2022-12-12,first_visit
67985172,mobile,Android,2022-12-12,first_visit
66787085,mobile,Android,2022-12-12,first_visit
67569180,mobile,Android,2022-12-12,first_visit
67986976,mobile,Android,2022-12-12,first_visit
67953258,mobile,Android,2022-12-12,first_visit
67988105,mobile,Android,2022-12-12,first_visit
60697483,mobile,Android,2022-12-12,first_visit
67988376,mobile,Android,2022-12-12,first_visit
66437805,mobile,Android,2022-12-12,first_visit
61820862,mobile,Android,2022-12-12,first_visit
54399686,mobile,Android,2022-12-12,first_visit
67988934,mobile,Android,2022-12-12,first_visit
62854862,mobile,Android,2022-12-12,first_visit
67940576,mobile,Android,2022-12-12,first_visit
67325938,mobile,Android,2022-12-12,first_visit
67988469,mobile,Android,2022-12-12,first_visit
63992402,mobile,iOS,2022-12-12,first_visit
67262698,mobile,iOS,2022-12-12,first_visit
67264166,mobile,iOS,2022-12-12,first_visit
58077188,mobile,iOS,2022-12-12,first_visit
24960795,mobile,iOS,2022-12-12,first_visit
66671905,mobile,Android,2022-12-12,first_visit
67649927,mobile,Android,2022-12-12,first_visit
67783942,mobile,Android,2022-12-12,first_visit
63804681,mobile,Android,2022-12-12,first_visit
67962126,mobile,Android,2022-12-12,first_visit
59866128,mobile,Android,2022-12-12,first_visit
56830228,mobile,Android,2022-12-12,first_visit
65991722,mobile,Android,2022-12-12,first_visit
67693616,mobile,Android,2022-12-12,first_visit
66054468,mobile,Android,2022-12-12,first_visit
66932817,mobile,Android,2022-12-12,first_visit
16795774,mobile,Android,2022-12-12,first_visit
61151916,mobile,Android,2022-12-12,first_visit
60540590,mobile,Android,2022-12-12,first_visit
58675136,mobile,Android,2022-12-12,first_visit
67583329,mobile,Android,2022-12-12,first_visit
67988933,mobile,Android,2022-12-12,first_visit
67587323,mobile,Android,2022-12-12,first_visit
67894005,mobile,Android,2022-12-12,first_visit
67983252,mobile,Android,2022-12-12,first_visit
67669392,mobile,Android,2022-12-12,first_visit
23643557,mobile,Android,2022-12-12,first_visit
58177844,mobile,Android,2022-12-12,first_visit
67988722,mobile,Android,2022-12-12,first_visit
59680166,mobile,iOS,2022-12-12,first_visit
65930413,mobile,iOS,2022-12-12,first_visit
55300564,mobile,iOS,2022-12-12,first_visit
35052409,mobile,iOS,2022-12-12,first_visit
39838888,mobile,iOS,2022-12-12,first_visit
67340112,mobile,iOS,2022-12-12,first_visit
56014751,mobile,Android,2022-12-12,first_visit
65043741,mobile,Android,2022-12-12,first_visit
64559689,mobile,iOS,2022-12-12,first_visit
67963213,mobile,iOS,2022-12-12,first_visit
66878571,mobile,iOS,2022-12-12,first_visit
21982125,mobile,Android,2022-12-12,first_visit
33913839,mobile,Android,2022-12-12,first_visit
60834689,mobile,Android,2022-12-12,first_visit
24911250,mobile,Android,2022-12-12,first_visit
67679977,mobile,Android,2022-12-12,first_visit
59484430,mobile,Android,2022-12-12,first_visit
36398217,mobile,Android,2022-12-12,first_visit
62109297,mobile,Android,2022-12-12,first_visit
64274447,mobile,Android,2022-12-12,first_visit
65300289,mobile,Android,2022-12-12,first_visit
67988610,mobile,Android,2022-12-12,first_visit
30237583,mobile,Android,2022-12-12,first_visit
63238297,mobile,Android,2022-12-12,first_visit
62532804,mobile,Android,2022-12-12,first_visit
67013218,mobile,Android,2022-12-12,first_visit
31688477,mobile,iOS,2022-12-12,first_visit
41165279,mobile,iOS,2022-12-12,first_visit
67932135,mobile,Android,2022-12-12,first_visit
66506582,mobile,Android,2022-12-12,first_visit
61163380,mobile,Android,2022-12-12,first_visit
58421904,mobile,Android,2022-12-12,first_visit
63361153,mobile,Android,2022-12-12,first_visit
52427940,mobile,Android,2022-12-12,first_visit
66811066,mobile,Android,2022-12-12,first_visit
67515694,mobile,Android,2022-12-12,first_visit
62383427,mobile,Android,2022-12-12,first_visit
58508124,mobile,Android,2022-12-12,first_visit
59107536,mobile,Android,2022-12-12,first_visit
67415971,mobile,iOS,2022-12-12,first_visit
66888281,mobile,Android,2022-12-12,first_visit
